Symbol,Alpha Anual,Beta,Riesgo Anual
NVDA,71.685,2.138,15.0435
META,61.953,1.852,9.5694
GE,46.381,0.832,4.6257
CRM,39.439,1.165,6.2493
LLY,38.028,0.478,7.9251
AMD,36.206,2.001,14.5923
AVGO,35.225,1.424,6.5855
INTC,35.142,1.329,11.5496
BKNG,32.71,0.942,4.5778
TSLA,20.508,2.246,19.9051
COST,19.508,0.758,2.5957
AMZN,17.988,1.615,6.0805
NFLX,17.792,1.357,10.6936
FDX,15.699,0.982,5.8165
ADBE,13.713,1.674,4.932
MSFT,11.463,1.279,3.2698
BA,9.536,0.87,6.0124
IBM,9.078,0.413,2.1812
AAPL,8.965,1.138,1.7246
GOOGL,6.98,1.485,5.1413
JPM,6.374,0.763,3.239
GOOG,6.301,1.517,5.0993
LIN,5.639,0.689,3.0842
TMUS,5.52,0.339,3.3397
COF,4.56,1.292,7.5179
V,3.839,0.709,1.493
SPG,3.161,0.899,4.8657
WMT,3.024,0.351,2.228
ACN,2.106,1.009,2.8882
CMCSA,1.67,0.919,4.2372
CAT,1.543,0.888,6.7494
MCD,1.276,0.454,1.5681
ORCL,1.014,1.051,7.095
UNP,1.008,0.733,4.7878
AMGN,0.736,0.473,3.8979
MDLZ,-0.724,0.433,2.7735
MA,-1.789,0.825,1.6958
CL,-2.287,0.231,2.6012
ABBV,-2.812,0.148,3.8088
AXP,-3.001,1.082,4.6306
WFC,-3.168,0.954,6.0013
MRK,-3.257,0.203,3.4803
GD,-4.207,0.409,2.972
