iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 23, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,394,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SMCI","SUPER MICRO COMPUTER INC","EQUITY","Information Technology","Equity","1,217,424,135.93","1.53","1,217,424,135.93","1,415,593.00","860.01","United States","NASDAQ","USD","1.00","USD","-"
"DECK","DECKERS OUTDOOR CORP","EQUITY","Consumer Discretionary","Equity","691,439,183.04","0.87","691,439,183.04","785,298.00","880.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RS","RELIANCE STEEL & ALUMINUM","EQUITY","Materials","Equity","568,489,301.64","0.71","568,489,301.64","1,753,947.00","324.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","STIF","Cash and/or Derivatives","Money Market","535,026,076.45","0.67","535,026,076.45","535,026,076.00","1.00","United States","-","USD","1.00","USD","-"
"CSL","CARLISLE COMPANIES INC","EQUITY","Industrials","Equity","529,325,302.34","0.66","529,325,302.34","1,485,742.00","356.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VST","VISTRA CORP","EQUITY","Utilities","Equity","498,716,003.50","0.63","498,716,003.50","10,257,425.00","48.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GDDY","GODADDY INC CLASS A","EQUITY","Information Technology","Equity","493,864,794.40","0.62","493,864,794.40","4,297,840.00","114.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MANH","MANHATTAN ASSOCIATES INC","EQUITY","Information Technology","Equity","467,662,441.30","0.59","467,662,441.30","1,878,917.00","248.90","United States","NASDAQ","USD","1.00","USD","-"
"GGG","GRACO INC","EQUITY","Industrials","Equity","465,467,401.80","0.58","465,467,401.80","5,151,255.00","90.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAIA","SAIA INC","EQUITY","Industrials","Equity","456,626,817.49","0.57","456,626,817.49","810,211.00","563.59","United States","NASDAQ","USD","1.00","USD","-"
"LII","LENNOX INTERNATIONAL INC","EQUITY","Industrials","Equity","448,352,927.23","0.56","448,352,927.23","976,187.00","459.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSM","WILLIAMS SONOMA INC","EQUITY","Consumer Discretionary","Equity","443,623,972.94","0.56","443,623,972.94","1,957,654.00","226.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RPM","RPM INTERNATIONAL INC","EQUITY","Materials","Equity","443,184,943.76","0.56","443,184,943.76","3,931,733.00","112.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","EQUITY","Industrials","Equity","436,479,371.24","0.55","436,479,371.24","1,745,708.00","250.03","United States","NASDAQ","USD","1.00","USD","-"
"XPO","XPO INC","EQUITY","Industrials","Equity","431,414,784.42","0.54","431,414,784.42","3,539,378.00","121.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NBIX","NEUROCRINE BIOSCIENCES INC","EQUITY","Health Care","Equity","402,343,426.30","0.51","402,343,426.30","2,998,535.00","134.18","United States","NASDAQ","USD","1.00","USD","-"
"OC","OWENS CORNING","EQUITY","Industrials","Equity","399,722,703.75","0.50","399,722,703.75","2,712,375.00","147.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLD","TOPBUILD CORP","EQUITY","Consumer Discretionary","Equity","398,888,326.86","0.50","398,888,326.86","969,729.00","411.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSO","WATSCO INC","EQUITY","Industrials","Equity","397,895,694.02","0.50","397,895,694.02","1,033,549.00","384.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BURL","BURLINGTON STORES INC","EQUITY","Consumer Discretionary","Equity","394,853,674.60","0.50","394,853,674.60","1,980,209.00","199.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","EQUITY","Industrials","Equity","387,241,319.52","0.49","387,241,319.52","1,435,716.00","269.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FND","FLOOR DECOR HOLDINGS INC CLASS A","EQUITY","Consumer Discretionary","Equity","380,892,311.52","0.48","380,892,311.52","3,252,432.00","117.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","EQUITY","Real Estate","Equity","380,107,106.86","0.48","380,107,106.86","5,688,523.00","66.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACM","AECOM","EQUITY","Industrials","Equity","379,055,516.14","0.48","379,055,516.14","4,233,838.00","89.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WPC","W. P. CAREY REIT INC","EQUITY","Real Estate","Equity","373,591,822.68","0.47","373,591,822.68","6,673,666.00","55.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLPI","GAMING AND LEISURE PROPERTIES REIT","EQUITY","Real Estate","Equity","370,293,468.16","0.47","370,293,468.16","8,149,064.00","45.44","United States","NASDAQ","USD","1.00","USD","-"
"TOL","TOLL BROTHERS INC","EQUITY","Consumer Discretionary","Equity","365,083,588.80","0.46","365,083,588.80","3,280,176.00","111.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DT","DYNATRACE INC","EQUITY","Information Technology","Equity","363,950,125.47","0.46","363,950,125.47","7,277,547.00","50.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSTG","PURE STORAGE INC CLASS A","EQUITY","Information Technology","Equity","363,658,323.25","0.46","363,658,323.25","8,963,725.00","40.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RNR","RENAISSANCERE HOLDING LTD","EQUITY","Financials","Equity","362,792,148.25","0.46","362,792,148.25","1,602,085.00","226.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFGC","PERFORMANCE FOOD GROUP","EQUITY","Consumer Staples","Equity","359,056,465.56","0.45","359,056,465.56","4,748,796.00","75.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OVV","OVINTIV INC","EQUITY","Energy","Equity","356,070,334.67","0.45","356,070,334.67","7,745,711.00","45.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USFD","US FOODS HOLDING CORP","EQUITY","Consumer Staples","Equity","352,462,737.78","0.44","352,462,737.78","6,902,913.00","51.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGA","REINSURANCE GROUP OF AMERICA INC","EQUITY","Financials","Equity","349,374,274.20","0.44","349,374,274.20","2,011,366.00","173.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","EQUITY","Financials","Equity","348,545,812.48","0.44","348,545,812.48","3,265,984.00","106.72","United States","NASDAQ","USD","1.00","USD","-"
