Symbol,Alpha Anual,Beta,Riesgo Anual
COIN,174.17,1.661,73.1405
USD,114.457,1.529,30.2652
SOFI,73.45,1.551,34.7416
NU,68.901,0.78,16.097
FCNCA,56.258,1.536,34.7295
XP,56.204,1.08,24.2572
ARES,47.247,1.021,5.2142
BX,45.982,1.32,6.8682
KKR,44.513,1.278,5.1469
BR,39.51,0.479,3.1894
HOOD,36.973,1.173,17.1262
CBOE,34.091,0.188,3.0644
OMF,33.124,1.391,5.4281
EVR,32.868,1.223,3.6689
MTG,31.626,0.854,2.4498
TW,30.781,0.455,6.4393
PRI,27.188,0.931,3.3462
APO,26.417,1.221,5.7955
MCO,25.628,0.736,2.8538
OWL,25.02,1.247,7.2853
CME,24.826,0.266,3.0213
AIZ,24.815,0.687,6.2707
HLI,24.62,0.809,3.5166
RITM,24.48,1.019,2.2165
FNF,24.194,0.901,3.3149
MORN,23.224,0.695,8.8369
ALLY,22.475,1.714,10.8521
CG,21.422,1.311,7.4159
JHG,19.424,0.99,5.4994
SPGI,18.425,0.801,2.9159
KNSL,18.164,0.906,12.3067
PGR,17.064,0.542,8.0647
ICE,16.595,0.583,2.3774
BRO,15.968,0.574,3.1528
FAF,14.552,0.873,4.5064
JPM,14.33,0.935,1.6928
ORI,14.102,0.718,2.2681
AJG,13.018,0.483,2.9559
WAL,11.975,3.985,66.7406
MSCI,11.879,0.842,6.1343
NYCB,10.851,1.688,20.0108
ACGL,10.64,0.611,5.4335
FDS,10.468,0.611,3.0455
STWD,9.13,1.207,4.1232
BPOP,8.599,1.406,5.4633
MMC,8.575,0.496,2.0716
JEF,8.453,1.336,4.1038
AGO,8.3,0.966,3.3656
L,7.939,0.748,1.6184
AFL,6.515,0.729,2.366
RGA,5.378,0.83,4.0773
AMP,5.014,1.266,1.7581
OZK,4.973,1.914,7.8087
