Symbol,Alpha Anual,Beta,Riesgo Anual
CELH,66.157,1.397,26.5605
FRPT,62.69,0.734,16.2191
USFD,34.348,0.9,4.5789
LW,26.818,0.906,5.5352
TAP,26.086,1.108,3.7989
COR,24.754,0.591,2.2342
CASY,24.586,0.663,4.4263
MCK,24.402,0.608,3.49
PFGC,23.005,1.042,4.3487
CHD,20.372,0.998,2.5013
MNST,17.843,1.22,2.6213
INGR,16.91,0.768,3.2486
MDLZ,15.381,1.266,1.1949
SAM,14.396,1.103,12.1179
ACI,13.011,0.243,1.5042
BG,11.028,0.835,7.5342
STZ,10.027,1.076,2.9218
CLX,9.343,1.07,4.8461
KR,7.689,0.72,3.1469
CL,6.898,1.029,1.4311
